Person Group,"	Day Pattern",Count
Child too young for school,Home,119340
Child too young for school,Mandatory,185104
Child too young for school,Non-mandatory,172095
Full-time worker,Home,319318
Full-time worker,Mandatory,1669178
Full-time worker,Non-mandatory,291179
Non-worker,Home,332868
Non-worker,Non-mandatory,543962
Part-time worker,Home,65482
Part-time worker,Mandatory,248605
Part-time worker,Non-mandatory,145932
Retired,Home,291631
Retired,Non-mandatory,326381
Student of driving age,Home,25624
Student of driving age,Mandatory,189860
Student of driving age,Non-mandatory,18643
Student of non-driving age,Home,65890
Student of non-driving age,Mandatory,686918
Student of non-driving age,Non-mandatory,64640
University student,Home,48566
University student,Mandatory,144907
University student,Non-mandatory,56184
