TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,11235531
AUTO,DRIVEALONE,DRIVEALONEPAY,309471
AUTO,SHARED2,SHARED2FREE,5378162
AUTO,SHARED2,SHARED2PAY,24308
AUTO,SHARED3,SHARED3FREE,3706372
AUTO,SHARED3,SHARED3PAY,28313
NONMOTORIZED,NONMOTORIZED,BIKE,118086
NONMOTORIZED,NONMOTORIZED,WALK,993834
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,909785
TRANSIT,KNR,KNR_ALLTRN,12357
TRANSIT,KNR,KNR_PRMTRN,16175
TRANSIT,PNR,PNR_ALLTRN,6307
TRANSIT,PNR,PNR_PRMTRN,45198
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,168576
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,70254
