AXIS,QUANTITY,CHART
Accessible Employment,250324299,AIRPORT
Jobs Housing Balance,0.05491131132540297,AIRPORT
Transit Mode Share,0.0838422858622699,AIRPORT
Zero Car Transit Trips Per HH,0.986380387758372,AIRPORT
Accessible Employment,140092645,BUCKHEAD
Jobs Housing Balance,0.41968816875573217,BUCKHEAD
Transit Mode Share,0.04267437340499248,BUCKHEAD
Zero Car Transit Trips Per HH,0.15333624708624707,BUCKHEAD
Accessible Employment,81448301,CUMBERLAND
Jobs Housing Balance,0.2426367461430575,CUMBERLAND
Transit Mode Share,0.018669403112707372,CUMBERLAND
Zero Car Transit Trips Per HH,0.10240703994478474,CUMBERLAND
Accessible Employment,73286343,DOWNTOWN
Jobs Housing Balance,0.11539123654444006,DOWNTOWN
Transit Mode Share,0.08161738857266805,DOWNTOWN
Zero Car Transit Trips Per HH,0.9261079420798596,DOWNTOWN
Accessible Employment,351059879,EMORY
Jobs Housing Balance,0.17756977243452127,EMORY
Transit Mode Share,0.037140996889242564,EMORY
Zero Car Transit Trips Per HH,0.3508076216268498,EMORY
Accessible Employment,13128497,FULTON INDUSTRIAL
Jobs Housing Balance,0.5344457781538401,FULTON INDUSTRIAL
Transit Mode Share,0.04178932975847433,FULTON INDUSTRIAL
Zero Car Transit Trips Per HH,0.0822901325478645,FULTON INDUSTRIAL
Accessible Employment,60156169,GWINNETT PLACE
Jobs Housing Balance,0.40219025791531415,GWINNETT PLACE
Transit Mode Share,0.017408807402445714,GWINNETT PLACE
Zero Car Transit Trips Per HH,0.053684699087205405,GWINNETT PLACE
Accessible Employment,64209319,MIDTOWN
Jobs Housing Balance,0.3152888290355927,MIDTOWN
Transit Mode Share,0.05576595143691088,MIDTOWN
Zero Car Transit Trips Per HH,0.32410888855466985,MIDTOWN
Accessible Employment,94786735,NORCROSS
Jobs Housing Balance,0.3764767718275537,NORCROSS
Transit Mode Share,0.022753233428054975,NORCROSS
Zero Car Transit Trips Per HH,0.058002284553877397,NORCROSS
Accessible Employment,47462996,NORTH POINT
Jobs Housing Balance,0.23753730090038883,NORTH POINT
Transit Mode Share,0.013825434280550256,NORTH POINT
Zero Car Transit Trips Per HH,0.07287361322601697,NORTH POINT
Accessible Employment,120763835,PERIMETER
Jobs Housing Balance,0.19782838588599772,PERIMETER
Transit Mode Share,0.02295296625154119,PERIMETER
Zero Car Transit Trips Per HH,0.18152386688751693,PERIMETER
Accessible Employment,9664698,SOUTHLAKE
Jobs Housing Balance,1.109328104365921,SOUTHLAKE
Transit Mode Share,0.026810293237582286,SOUTHLAKE
Zero Car Transit Trips Per HH,0.05901662999170304,SOUTHLAKE
Accessible Employment,55550189,TOWN CENTER
Jobs Housing Balance,0.350601934083284,TOWN CENTER
Transit Mode Share,0.018239054318846166,TOWN CENTER
Zero Car Transit Trips Per HH,0.061262782625011725,TOWN CENTER
