AXIS,CHART,QUANTITY
Accessible Employment,AEROTROPOLIS,611269
Jobs Housing Balance,AEROTROPOLIS,0.02874617737003058
Transit Mode Share,AEROTROPOLIS,0.03176620076238882
Zero Car Transit Trips Per HH,AEROTROPOLIS,0.1702127659574468
Accessible Employment,BUCKHEAD,934033
Accessible Employment,CITY CENTER,1155470
Accessible Employment,CUMBERLAND,943324
Accessible Employment,DORAVILLE ASSEMBLY,680357
Accessible Employment,EMORY,890483
Accessible Employment,FT MCPHERSON,736956
Accessible Employment,FULTON INDUSTRIAL,511757
Accessible Employment,GWINNETT,435890
Accessible Employment,HARTSFIELD,337251
Accessible Employment,LOCKHEED/DOBBINS,461202
Accessible Employment,MIDTOWN,1123511
Accessible Employment,NEWNAN,87259
Accessible Employment,NORTH POINT,367163
Accessible Employment,PEACHTREE CORNERS,620050
Accessible Employment,PERIMETER,799581
Accessible Employment,STOCKBRIDGE,200759
Accessible Employment,STONECREST,156311
Accessible Employment,TOWN CENTER,385755
Accessible Employment,TRIBUTARY,178209
Accessible Employment,WINDWARD,386012
Jobs Housing Balance,WINDWARD,0.47619047619047616
Transit Mode Share,WINDWARD,0.0036809815950920245
Zero Car Transit Trips Per HH,WINDWARD,0.003703703703703704
